CÓDIGO BIC,ID_REGAGE,MUNICIPIO,PROVINCIA,BIEN,DIRECCIÓN/LUGAR,X,Y,CATEGORÍA,FECHA DECLARACIÓN,FECHA DIARIO,FECHA BOLETÍN,HAY DATOS,ENTREGADO
,,Columna1,Columna7,Columna2,Columna8,Columna9,Columna10,Columna3,Columna12,Columna13,Columna14,,
15555,(R.I.) - 53 - 0000016 - 00001,CÁCERES,CÁCERES,Palacio de Abrantes,"Pl. del Duque, 13, CP. 10003 ",210030,4375034,Conjunto Histórico,,,BOE: 02-02-1949,,
30536,,CÁCERES,CÁCERES,Poblado de Zamarrillas,,"216429,05","4363495,81",Sitio Histórico,"DECRETO 26/2024, de 26 marzo",DOE: 2-04-2024,,,
15556,(R.I.) - 53 - 0000016 - 00002,CÁCERES,CÁCERES,Casa de los Trucos,"Calle Gral. Ezponda, 14, CP. 10003",209927,4375026,Conjunto Histórico,,,BOE: 02-02-1949,,
28512,,CABEZA DEL BUEY,BADAJOZ,Yacimiento Arqueológico La Nava,,"305140,94","4284574,83",Zona Arqueológica,"DECRETO 27/2024, de 26 marzo",DOE: 02-04-2024,,,
3049,(R.I.) - 51 - 0000403 - 00000,CALERA DE LEÓN,BADAJOZ,Convento de Santiago,"Plaza España, 14 CP. 06292",207344,4222819,Monumento,,,LA GACETA: 04-06-1931,,
3048,(R.I.) - 51 – 0000402 - 00000,CALERA DE LEÓN,BADAJOZ,Monasterio de Santa María de Tentudía,"Carretera Monasterio de Tentudia, s/n CP. 06292 ",207060,4217091,Monumento,,,LA GACETA: 04-06-1931,,
29897,(R.I.) - 51 – 0000109 - 00000,CALERA DE LEÓN,BADAJOZ,Pozo de Nieve y Alberca, ,207171,4217703,Lugar de Interés Etnológico,"DECRETO 60/2022, de 25 mayo",DOE: 01-06-2022,BOE:27-07-2022,,
7440,(R.I.) - 51 - 0004695 - 00000,CALZADILLA DE LOS BARROS,BADAJOZ,Iglesia del Salvador,"Plaza Salvador, 14a CP. 06249",210043,4244342,Monumento,REAL DECRETO 2731/1982 de 10 septiembre,,BOE declaración: 02-11-1982,,
9837,R-I-51-0007062-00000,CAMPANARIO,BADAJOZ,Ermita Ntra. Sra. de Piedraescrita,Los Barrancos. Polígono 9. Parcela 503 CP. 06460,277139,4306272,Monumento,"DECRETO 50/1994, de 22 marzo",DOE:29-03-1994,,,
30170,(R.I.) - BI– 0000030 - 00000,CAMPANARIO,BADAJOZ,"Conjunto arqueológico de ""La Mata""",,267640,4305774,Zona Arqueológica,"DECRETO 74/2020, de 9 diciembre",DOE: 16-12-2020,BOE: 08-10-2021,,
30393,,CAPILLA,BADAJOZ,Cerro del Castillo,"C. Calvario, 4, CP. 06612 ",318903,4299010,Zona Arqueológica,"DECRETO 142/2022, de 30 noviembre",DOE: 07-12-2022,BOE: 06-02-2023,,
10162,A-R-I-51-0007386-00000,CAPILLA,BADAJOZ,Iglesia Parroquial de Santiago Apóstol,"Calle Guardia Civil, 22 CP. 06612",319041,4298836,Monumento, DECRETO 156/2022  de 21 de diciembre,DOE 27-12-2022,BOE: 06-02-2023,,
9930,R-I-51-0007155-00000,CASAR DE CÁCERES,CÁCERES,Parroquia de Ntra. Sra. de la Asunción,Plaza la Llanada CP. 10190,206226,4384642,Monumento,"DECRETO 134/1991, de 17 diciembre",DOE: 24-12-1991,,,
28174,A.R.I. – 53 – 0000047-00000,CASAS DE REINA Y REINA,BADAJOZ,Ciudad Romana de Regina Turdulorum,"Polígono 4, parcela 307, San Blas CP. 06960",241586,4232424,Zona Arqueológica,"DECRETO 71/2012, de 27 abril",DOE: 04-05-2012,BOE: 11-07-2012,,
4336,R.I.) – 51 – 0001632-00000,CASATEJADA,CÁCERES,Iglesia de San Pedro “Ad Vincula”,"Plaza de España, 7 CP. 10520",270450,4418633,Monumento,"DECRETO 536/1965, de 25 febrero",,BOE: 13-03-1965,,
16591,R-I-54-0000253-00000,CASTUERA,BADAJOZ,Campo de Concentración,"Polígono 1, Parcela 646, Verilleja CP. 06429",281316,4289069,Sitio Histórico,"DECRETO 97/2009, de 30 abril",DOE: 13-05-2009,BOE: 13-06-2009,,
30300,,CC.AA. EXTREMADURA,,La Montería y la Rehala en Extremadura,,,,Patrimonio Cultural Inmaterial,"DECRETO 84/2022, de 28 mayo",DOE: 05-06-2022,BOE: 08-09-2022,,
30403,,CC.AA. EXTREMADURA,,La Trashumancia en Extremadura,,,,Patrimonio Cultural Inmaterial," DECRETO 135/2022, de 9 noviembre",DOE: 15-11_2022,BOE:03-12-2022,,
30298,,CC.AA. EXTREMADURA,,El Flamenco en Extremadura,,,,Patrimonio Cultural Inmaterial,"DECRETO 22/2022, de 9 marzo",DOE: 15-03-2022,BOE: 15-04-2022,,
30511,,CC.AA. EXTREMADURA,,La Cetrería en Extremadura,,,,Patrimonio Cultural Inmaterial,DECRETO 37/2023 de 19 de abril ,DOE: 25-04-2023,BOE: 22-05-2023,,
16384,R-I-54-0000046,VALLE DEL JERTE,CÁCERES,Paisaje Pintoresco del Valle del Jerte,,,,Sitio Histórico,"DECRETO 3360/1973, de 14 diciembre",,BOE: 16-01-1974,,
16623,(R.I.) - 55 – 0000014 - 00000,CORIA,CÁCERES,Recinto amurallado,"Calle del Horno, 13 CP. 10800",198039,4431854,Monumento,,,LA GACETA: 04-06-1931,,
7597,(R.I.) - 51 - 0004841 - 00000,CORIA,CÁCERES,Ermita de la Virgen de Argeme,"Polígono 14, parcela 7 CP. 10800",202584,4431530,Monumento,DECRETO 30-03-1983,,27-5-83,,
8835,(R.I.) - 51 - 0006066 - 00000,CORIA,CÁCERES,Castillo,"Plaza de la Cueva, CP. 10. 800","198022,38","4432033,03",Monumento,,,20-12-77,,
16025,(R.I.) - 53 – 0000432 - 00000,CORIA,CÁCERES,Conjunto Histórico,"Plaza San Pedro, 1 CP. 10800",198039,4431854,Conjunto Histórico,"DECRETO 72/1993, de 25 mayo",DOE: 01-06-1993,,,
3132,(R.I.) - 51 – 0000483 -0000,CORIA,CÁCERES,Iglesia Catedral de la Asunción,"Plaza de la Catedral, s/n CP. 10800",197960,4431753,Monumento,,,LA GACETA: 04-06-1931,,
16332,(R.I.) - 54 - 0000012 - 00000,CUACOS DE YUSTE,CÁCERES,"La Villa, paraje pintoresco","Plaza de España 1, CP. 10430",267862,4443013,Conjunto Histórico,,,BOE:07-03-1959,,
31141,(R.I.) - 51 - 0000492 - 00000,CUACOS DE YUSTE,CÁCERES,Monasterio de San Jerónimo de Yuste,"LG Yuste Polígono 1, parcela 109 CP. 10430",266608,4443969,Monumento,,,LA GACETA: 04-06-1931,,
11475,R-I-51-0008688-00000,DON BENITO,BADAJOZ,Iglesia Parroquial de Santiago,"Plaza de España, 14 CP. 06400",252051,4315599,Monumento,"DECRETO 2/1995, de 10 enero",DOE: 17-1-1995,,,
30015,,DON BENITO,BADAJOZ,Villa Romana la Majona," Diseminado la Isla, 21, CP. 06412","250455,95","4321833,41",Zona Arqueológica," DECRETO 148/2022, de 14  diciembre",DOE: 19-12-2022,06/02/2023,,
6957,(R.I.) - 51 - 0004236 - 00000,ELJAS,CÁCERES,Castillo de Eljas,"Calle Castelu Artu, 8 CP. 10891",172576,4458963,Monumento,"DECRETO 72/2022, de 8 junio",DOE: 14-06-2022,BOE:24-10-2022,,
15687,(R.I.) - 53 – 0000111 - 00000,FERIA,BADAJOZ,Conjunto Histórico,Plaza de Extremadura CP. 06390,189148,4268793,Conjunto Histórico,,,BOE: 12-05-1970,,
15976,(R.I.) - 53 – 0000384 - 00000,FREGENAL DE LA SIERRA,BADAJOZ,Conjunto Histórico,"Plaza Constitución, 1 CP. 06340",179763,4231097,Conjunto Histórico,,DOE: 25-02-1992,,,
28656,,FREGENAL DE LA SIERRA,BADAJOZ,Yacimiento Arqueológico Nertóbriga,"Polígono 42, Parcela 21, El Coto y Cabrito CP. 06340","183609,06","4225040,9",Zona Arqueológica,"DECRETO 76/2013,de 14 mayo",DOE:21-05-2013,,,
29717,,FREGENAL DE LA SIERRA,BADAJOZ,Danza y fiesta Virgen de la Salud,"Pl. Constitución, 1, CP. 06340","179956,22","4230985,22",Patrimonio Cultural Inmaterial,"DECRETO 157/2017, de 26 septiembre",DOE: 02-10-2017,BOE:,,
11084,(R.I.) - 51 – 00008301 - 00000,FUENTE DEL ARCO,BADAJOZ,Ermita de Nuestra Señora del Ara,Sierra de la Jayona CP. 06980,242304,4224494,Monumento,"DECRETO 171/2018, de 16 octubre",DOE: 22-10-2018,BOE:19-11-2018,,
8197,(R.I.) - 53 – 0005430 - 00000,FUENTE DEL MAESTRE,BADAJOZ,Iglesia Ntra. Sra. de la Candelaria,"Calle Santa María, 6 CP. 06380",199298,4270114,Monumento,"DECRETO 99/1993, de 20 julio",DOE: 31-07-1993,BOE: 31-07-1993,,
